order_id,zone,restaurant,delivery_partner,order_time,delivery_time,Delivery Delay (mins),Cancelled (1/0),Customer Rating
ORD1000,West,Restaurant_3,DP_6,2023/07/11 23:24,12-07-2023 00:06:00,12,0,4.6
ORD1001,Central,Restaurant_7,DP_37,2023/07/11 03:46,11-07-2023 04:31:00,15,0,4.9
ORD1002,East,Restaurant_27,DP_10,2023/07/20 12:52,20-07-2023 13:34:00,12,0,3.5
ORD1003,Central,Restaurant_28,DP_40,2023/07/06 12:31,06-07-2023 13:05:00,4,0,3.5
ORD1004,Central,Restaurant_22,DP_7,2023/07/05 11:29,05-07-2023 12:18:00,19,0,4.9
ORD1005,South,Restaurant_14,DP_39,2023/07/14 05:45,14-07-2023 06:29:00,14,1,
ORD1006,East,Restaurant_7,DP_38,2023/07/25 23:27,26-07-2023 00:08:00,11,0,3.6
ORD1007,East,Restaurant_5,DP_21,2023/07/28 10:56,28-07-2023 11:37:00,11,0,4.7
ORD1008,East,Restaurant_29,DP_20,2023/07/07 08:10,07-07-2023 09:03:00,23,0,4.4
ORD1009,Central,Restaurant_22,DP_3,2023/07/17 13:04,17-07-2023 13:38:00,4,0,4.5
ORD1010,West,Restaurant_5,DP_22,2023/07/29 18:01,29-07-2023 18:44:00,13,0,3.6
ORD1011,East,Restaurant_30,DP_4,2023/07/26 16:33,26-07-2023 17:08:00,5,0,4.3
ORD1012,Central,Restaurant_23,DP_28,2023/07/23 03:15,23-07-2023 03:40:00,-5,0,4.8
ORD1013,South,Restaurant_2,DP_12,2023/07/05 04:54,05-07-2023 05:19:00,-5,0,4.5
ORD1014,West,Restaurant_30,DP_38,2023/07/24 19:13,24-07-2023 19:44:00,1,0,4.7
ORD1015,South,Restaurant_27,DP_36,2023/07/30 01:01,30-07-2023 01:35:00,4,0,4.9
ORD1016,West,Restaurant_21,DP_5,2023/07/08 12:32,,27,0,4.4
ORD1017,Central,Restaurant_22,DP_13,2023/07/21 14:30,21-07-2023 15:15:00,15,0,3.8
ORD1018,North,Restaurant_6,DP_23,2023/07/16 20:52,16-07-2023 21:38:00,16,0,4.6
ORD1019,West,Restaurant_15,DP_30,2023/07/17 09:40,17-07-2023 10:14:00,4,0,3.4
ORD1020,South,Restaurant_21,DP_37,2023/07/20 15:47,20-07-2023 16:27:00,10,0,4.0
ORD1021,Central,Restaurant_10,DP_25,2023/07/02 01:51,02-07-2023 02:49:00,28,0,
ORD1022,West,Restaurant_23,DP_27,2023/07/20 07:32,20-07-2023 08:02:00,0,0,2.2
ORD1023,North,Restaurant_26,DP_14,2023/07/10 13:59,10-07-2023 14:42:00,13,1,4.3
ORD1024,North,Restaurant_24,DP_36,2023/07/19 06:32,19-07-2023 07:24:00,22,0,4.3
ORD1025,East,Restaurant_7,DP_39,2023/07/28 12:20,28-07-2023 13:07:00,17,0,3.4
ORD1026,East,Restaurant_5,DP_16,2023/07/02 00:09,02-07-2023 01:03:00,24,0,4.3
ORD1027,South,Restaurant_1,DP_22,2023/07/17 23:06,17-07-2023 23:47:00,11,0,4.2
ORD1028,West,Restaurant_13,DP_21,2023/07/25 14:27,25-07-2023 15:11:00,14,1,4.1
ORD1029,West,Restaurant_21,DP_21,2023/07/28 23:17,28-07-2023 23:57:00,10,0,4.8
ORD1030,East,Restaurant_26,DP_8,2023/07/22 21:51,22-07-2023 22:35:00,14,0,4.6
ORD1031,West,Restaurant_18,DP_16,2023/07/17 20:37,17-07-2023 21:09:00,2,0,4.5
ORD1032,West,Restaurant_13,DP_31,2023/07/25 15:29,25-07-2023 16:15:00,16,0,3.5
ORD1033,North,Restaurant_21,DP_10,2023/07/07 16:37,07-07-2023 17:19:00,12,0,4.1
ORD1034,East,Restaurant_21,DP_32,,25-07-2023 19:33:00,10,0,4.8
ORD1035,Central,Restaurant_18,DP_34,2023/07/07 19:44,07-07-2023 20:37:00,23,0,4.0
ORD1036,East,Restaurant_5,DP_9,2023/07/19 17:10,19-07-2023 17:47:00,7,0,5.0
ORD1037,Central,Restaurant_13,DP_17,2023/07/17 07:28,17-07-2023 08:17:00,19,0,
ORD1038,North,Restaurant_4,DP_11,2023/07/28 02:08,28-07-2023 02:58:00,20,0,5.0
ORD1039,South,Restaurant_17,DP_32,2023/07/01 03:35,01-07-2023 04:21:00,16,1,3.5
ORD1040,West,Restaurant_3,DP_10,2023/07/28 19:47,28-07-2023 20:19:00,2,0,4.0
ORD1041,North,Restaurant_17,DP_22,2023/07/09 00:03,09-07-2023 00:45:00,12,0,4.1
ORD1042,West,Restaurant_28,DP_17,2023/07/08 04:44,08-07-2023 05:39:00,25,0,4.5
ORD1043,South,Restaurant_11,DP_4,2023/07/03 04:33,03-07-2023 04:59:00,-4,0,3.7
ORD1044,South,Restaurant_21,DP_25,2023/07/17 13:14,17-07-2023 13:52:00,8,0,3.1
ORD1045,North,Restaurant_20,DP_21,2023/07/24 22:34,24-07-2023 23:23:00,19,0,4.3
ORD1046,South,Restaurant_23,DP_37,2023/07/30 21:46,30-07-2023 22:25:00,9,0,
ORD1047,Central,Restaurant_21,DP_38,2023/07/24 20:15,24-07-2023 21:01:00,16,0,3.8
ORD1048,South,Restaurant_26,DP_1,2023/07/08 05:20,08-07-2023 06:11:00,21,0,3.7
ORD1049,West,Restaurant_30,DP_25,2023/07/08 04:25,08-07-2023 05:06:00,11,0,4.2
ORD1050,West,Restaurant_4,DP_36,,24-07-2023 13:40:00,14,0,3.5
ORD1051,West,Restaurant_2,DP_17,2023/07/14 19:34,14-07-2023 20:14:00,10,0,4.0
ORD1052,West,Restaurant_20,DP_24,2023/07/21 01:39,21-07-2023 02:21:00,12,0,3.6
ORD1053,Central,Restaurant_16,DP_2,2023/07/29 05:15,29-07-2023 06:11:00,26,0,3.7
ORD1054,East,Restaurant_28,DP_40,2023/07/20 14:29,20-07-2023 15:08:00,9,0,4.3
ORD1055,North,Restaurant_18,DP_15,2023/07/04 21:03,04-07-2023 21:40:00,7,0,4.5
ORD1056,West,Restaurant_8,DP_32,2023/07/04 09:37,04-07-2023 10:25:00,18,0,3.9
ORD1057,South,Restaurant_3,DP_39,2023/07/05 04:01,05-07-2023 04:34:00,3,0,4.7
ORD1058,West,Restaurant_9,DP_6,2023/07/04 04:07,04-07-2023 04:42:00,5,0,3.5
ORD1059,South,Restaurant_29,DP_1,2023/07/07 10:31,07-07-2023 11:06:00,5,0,3.2
ORD1060,South,Restaurant_20,DP_23,2023/07/09 03:03,,7,0,3.3
ORD1061,West,Restaurant_29,DP_39,2023/07/10 06:09,10-07-2023 06:47:00,8,1,3.5
ORD1062,Central,Restaurant_6,DP_17,2023/07/25 15:49,25-07-2023 16:34:00,15,0,3.3
ORD1063,South,Restaurant_10,DP_34,2023/07/05 08:16,05-07-2023 08:53:00,7,0,5.0
ORD1064,South,Restaurant_21,DP_29,2023/07/01 03:48,01-07-2023 04:33:00,15,0,3.2
ORD1065,West,Restaurant_10,DP_9,2023/07/18 04:26,18-07-2023 05:12:00,16,0,4.7
ORD1066,South,Restaurant_13,DP_13,2023/07/12 13:58,12-07-2023 14:32:00,4,0,4.1
ORD1067,South,Restaurant_17,DP_6,2023/07/26 17:32,26-07-2023 18:18:00,16,0,4.2
ORD1068,West,Restaurant_9,DP_6,2023/07/17 02:25,17-07-2023 03:12:00,17,0,3.6
ORD1069,West,Restaurant_17,DP_20,2023/07/24 09:26,24-07-2023 09:52:00,-4,0,4.3
ORD1070,North,Restaurant_24,DP_3,2023/07/08 22:45,08-07-2023 23:27:00,12,0,3.6
ORD1071,Central,Restaurant_9,DP_17,2023/07/24 02:26,24-07-2023 03:01:00,5,0,4.7
ORD1072,Central,Restaurant_9,DP_12,,02-07-2023 23:39:00,20,0,4.7
ORD1073,South,Restaurant_1,DP_1,2023/07/27 04:49,27-07-2023 05:24:00,5,0,4.0
ORD1074,Central,Restaurant_2,DP_17,2023/07/30 00:25,30-07-2023 00:55:00,0,0,4.1
ORD1075,South,Restaurant_28,DP_3,2023/07/26 09:07,26-07-2023 09:46:00,9,0,4.4
ORD1076,North,Restaurant_16,DP_26,2023/07/30 17:38,30-07-2023 18:10:00,2,0,4.3
ORD1077,West,Restaurant_29,DP_15,2023/07/25 05:26,25-07-2023 06:12:00,16,1,4.7
ORD1078,West,Restaurant_1,DP_36,2023/07/05 10:31,05-07-2023 11:04:00,3,0,4.7
ORD1079,West,Restaurant_10,DP_32,2023/07/01 02:25,01-07-2023 03:04:00,9,0,4.1
ORD1080,Central,Restaurant_18,DP_32,,10-07-2023 17:01:00,22,0,3.8
ORD1081,North,Restaurant_26,DP_4,2023/07/17 21:26,17-07-2023 22:14:00,18,0,4.6
ORD1082,Central,Restaurant_28,DP_18,2023/07/21 19:51,21-07-2023 20:34:00,13,0,
ORD1083,Central,Restaurant_8,DP_19,2023/07/26 22:13,26-07-2023 22:51:00,8,0,4.2
ORD1084,North,Restaurant_21,DP_35,2023/07/12 12:16,12-07-2023 12:59:00,13,0,4.4
ORD1085,North,Restaurant_28,DP_40,2023/07/28 08:45,28-07-2023 09:30:00,15,1,4.7
ORD1086,North,Restaurant_11,DP_14,2023/07/20 18:24,20-07-2023 18:56:00,2,0,4.3
